open,high,low,close,volume,timestamp,date
495.5,506.6,485.7,491.1,592203.0,2025-09-07 18:30:00,2025-09-07 18:30:00
493.5,501.0,490.2,499.1,426064.0,2025-09-08 18:30:00,2025-09-08 18:30:00
502.0,512.0,501.0,508.85,1003567.0,2025-09-09 18:30:00,2025-09-09 18:30:00
512.9,515.9,503.9,510.45,689909.0,2025-09-10 18:30:00,2025-09-10 18:30:00
510.95,523.0,507.0,518.55,1072838.0,2025-09-11 18:30:00,2025-09-11 18:30:00
519.15,524.7,512.5,514.45,752190.0,2025-09-14 18:30:00,2025-09-14 18:30:00
516.0,529.45,508.15,510.5,1206242.0,2025-09-15 18:30:00,2025-09-15 18:30:00
512.9,522.4,510.55,518.65,542314.0,2025-09-16 18:30:00,2025-09-16 18:30:00
520.9,531.0,515.6,518.75,1117121.0,2025-09-17 18:30:00,2025-09-17 18:30:00
519.0,526.9,516.35,521.35,672131.0,2025-09-18 18:30:00,2025-09-18 18:30:00
521.0,528.6,515.05,517.2,481523.0,2025-09-21 18:30:00,2025-09-21 18:30:00
519.0,529.7,516.35,519.35,758187.0,2025-09-22 18:30:00,2025-09-22 18:30:00
518.0,526.0,517.0,521.9,522066.0,2025-09-23 18:30:00,2025-09-23 18:30:00
520.1,532.5,518.05,521.8,1015799.0,2025-09-24 18:30:00,2025-09-24 18:30:00
520.9,521.45,504.7,506.75,513348.0,2025-09-25 18:30:00,2025-09-25 18:30:00
508.0,519.0,506.0,507.65,474270.0,2025-09-28 18:30:00,2025-09-28 18:30:00
509.95,511.0,501.1,504.9,266363.0,2025-09-29 18:30:00,2025-09-29 18:30:00
507.45,518.2,506.9,513.4,340088.0,2025-09-30 18:30:00,2025-09-30 18:30:00
515.0,521.25,512.3,516.9,601093.0,2025-10-02 18:30:00,2025-10-02 18:30:00
517.0,534.9,516.55,520.1,872730.0,2025-10-05 18:30:00,2025-10-05 18:30:00
520.3,523.3,509.15,510.75,498732.0,2025-10-06 18:30:00,2025-10-06 18:30:00
511.15,544.0,509.65,515.75,3702439.0,2025-10-07 18:30:00,2025-10-07 18:30:00
518.75,551.2,517.0,535.35,3797564.0,2025-10-08 18:30:00,2025-10-08 18:30:00
531.7,531.8,512.5,515.2,1621813.0,2025-10-09 18:30:00,2025-10-09 18:30:00
515.4,522.4,506.2,519.45,783214.0,2025-10-12 18:30:00,2025-10-12 18:30:00
520.0,529.7,515.0,518.6,772100.0,2025-10-13 18:30:00,2025-10-13 18:30:00
518.1,524.0,506.0,511.3,824815.0,2025-10-14 18:30:00,2025-10-14 18:30:00
513.9,526.4,512.1,521.35,945628.0,2025-10-15 18:30:00,2025-10-15 18:30:00
518.0,527.95,511.15,512.25,441286.0,2025-10-16 18:30:00,2025-10-16 18:30:00
514.6,516.0,504.1,506.8,402535.0,2025-10-19 18:30:00,2025-10-19 18:30:00
508.85,515.7,508.5,513.15,97340.0,2025-10-20 18:30:00,2025-10-20 18:30:00
516.0,523.55,510.6,514.4,449391.0,2025-10-22 18:30:00,2025-10-22 18:30:00
516.6,526.2,514.4,515.7,507984.0,2025-10-23 18:30:00,2025-10-23 18:30:00
518.0,525.9,515.0,524.2,625086.0,2025-10-26 18:30:00,2025-10-26 18:30:00
538.0,585.0,536.0,580.6,9487780.0,2025-10-28 18:30:00,2025-10-28 18:30:00
578.0,598.0,570.5,588.85,3180111.0,2025-10-29 18:30:00,2025-10-29 18:30:00
587.0,594.0,581.1,591.0,1127330.0,2025-10-30 18:30:00,2025-10-30 18:30:00
